EDITION,NAME,TOKEN,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:INTELLIGENCE,ATTRIBUTE:HEART,ATTRIBUTE:BACKGROUND,ATTRIBUTE:CIRCLE,ATTRIBUTE:ELEMENTAL,ATTRIBUTE:COLOR,ATTRIBUTE:EYES,ATTRIBUTE:SCALES,ATTRIBUTE:CHEST,ATTRIBUTE:SPIKES,ATTRIBUTE:ARMOUR,ATTRIBUTE:HORN,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
24,GNOGONS #24,XGNOGONS-0a6d4c-18,93,94,90,89,90,93,Midnight Navy,Forrest,Thunder,Cotton Candy,Gold,Toxic,Marine,Blades,None,Wisdom,267.85,9512,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/24.png,
25,GNOGONS #25,XGNOGONS-0a6d4c-19,80,91,97,93,94,93,Pure Red,Deep Sea,Fire,Darkmode,Dragonfruit,Diamond,Stealthmode,Silver,None,Metaversed,303.05,7755,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/25.png,
26,GNOGONS #26,XGNOGONS-0a6d4c-1A,90,94,93,93,94,95,Black Charcoal,Bananas,Ether,Lockness,Sky,Dragonguard,Maiar Blue,Scarab,Crusader,God of Thunder,290.91,8473,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/26.png,
27,GNOGONS #27,XGNOGONS-0a6d4c-1B,75,94,94,94,100,92,Almond Skin,Plum,Ice,Cotton Candy,Emerald,Toxic,Marine,Volt,Rise,Post Battle,865.56,506,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/27.png,
28,GNOGONS #28,XGNOGONS-0a6d4c-1C,60,95,92,94,90,94,Holograph,Taupe,Sun,Death,Offwhite,Mountain,Steel Scales,Flightsuit,Seashell,Aviators,331.49,5865,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/28.png,
29,GNOGONS #29,XGNOGONS-0a6d4c-1D,85,93,100,91,94,97,Twilight Zone,Aura,Decay,Cotton Candy,Charcoal,Lagoon,Platinum,Scarab,Centurion,Mystic,844.51,539,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/29.png,
30,GNOGONS #30,XGNOGONS-0a6d4c-1E,95,97,92,94,95,91,Almond Skin,Tiffany,Thunder,Kobe,Sky,Lagoon,Mech Suit,Mist,Centurion,Scythe,333.23,5749,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/30.png,
31,GNOGONS #31,XGNOGONS-0a6d4c-1F,65,95,89,90,90,93,Midnight Navy,Taupe,Fear,Cotton Candy,Gold,Diamond,Mech Suit,Silver,None,Stealth Mode,300.24,7942,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/31.png,
32,GNOGONS #32,XGNOGONS-0a6d4c-20,97,98,97,93,91,93,Pure Red,Matte,Sun,Cotton Candy,Charcoal,Toxic,Mech Suit,Dusk,Crusader,Warrior,345.45,4967,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/32.png,
33,GNOGONS #33,XGNOGONS-0a6d4c-21,85,96,94,94,91,91,Midnight Navy,Bananas,Sun,Darkmode,Autumn,Toxic,Marine,Razor,Crusader,Priest,298.78,8030,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/33.png,
34,GNOGONS #34,XGNOGONS-0a6d4c-22,98,99,93,95,89,89,Twilight Zone,Cyber,Thunder,Diamond Hands,Offwhite,Oceanic,Steel Scales,Rainbow,None,Inferno,388.24,2955,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/34.png,
35,GNOGONS #35,XGNOGONS-0a6d4c-23,80,94,92,94,96,94,Almond Skin,Bone,Fear,Fire Blast,Cerulean,Lagoon,Atlantis,Eco,Royal Armor,Destroyer,371.94,3587,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/35.png,
36,GNOGONS #36,XGNOGONS-0a6d4c-24,80,90,94,91,97,91,Hot Pink,Bananas,Thunder,Seaside,Sky,Toxic,Cave,Icicles,None,Golden Sunset,386.85,3006,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/36.png,
37,GNOGONS #37,XGNOGONS-0a6d4c-25,93,91,94,89,96,95,Standard Issue,Deep Sea,Decay,Rival,Offwhite,Dragonguard,Marine,Moss,Centurion,God of Thunder,352.81,4537,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/37.png,
38,GNOGONS #38,XGNOGONS-0a6d4c-26,75,91,97,92,90,94,Undriven Snow,Cyber,Alloys,Destiny,Violet,Dragonguard,Plated,Chariot,None,Destroyer,361.11,4108,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/38.png,
39,GNOGONS #39,XGNOGONS-0a6d4c-27,99,92,94,95,91,91,Jet Black,Bone,Time,Bubble Gum,Offwhite,Lagoon,Steel Scales,Plasma,Rise,Golden Sunset,564.63,726,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/39.png,
40,GNOGONS #40,XGNOGONS-0a6d4c-28,65,95,94,94,98,94,Hot Pink,Deep Sea,Spirit,Rival,Gold,Mountain,Marine,Hazard,None,Shards of Darkness,340.12,5293,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/40.png,
41,GNOGONS #41,XGNOGONS-0a6d4c-29,96,95,95,91,96,90,Black Charcoal,Blush,Alloys,Guardian of Earth,Autumn,Toxic,Platinum,Blades,None,Protector,329.17,6016,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/41.png,
42,GNOGONS #42,XGNOGONS-0a6d4c-2A,91,99,97,99,96,95,Pure Red,Bone,Ice,Destiny,Citrus,Diamond,Atlantis,Photosynthesis,None,Gnogent,524.13,813,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/42.png,
43,GNOGONS #43,XGNOGONS-0a6d4c-2B,65,89,95,99,95,96,Undriven Snow,Beluga,Fear,Diamond Hands,Emerald,Lagoon,Cave,Rainbow,None,Uniswap Killer,359.65,4203,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/43.png,
44,GNOGONS #44,XGNOGONS-0a6d4c-2C,91,89,95,94,97,98,Hot Pink,GNG,Fire,Diamond Hands,Cerulean,Oceanic,Mech Suit,Rainbow,Seashell,Victory Crown,330.76,5918,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/44.png,
45,GNOGONS #45,XGNOGONS-0a6d4c-2D,65,96,91,94,90,96,Twilight Zone,Blush,Ice,Gnogons,Charcoal,Dragonguard,Blizzard,Hades,None,Wisdom,300.86,7897,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/45.png,
46,GNOGONS #46,XGNOGONS-0a6d4c-2E,92,95,97,94,89,91,Holograph,Plum,Water,God of War,Autumn,Lagoon,Desert Storm,Rainbow,Centurion,Golden Sunset,451.58,1352,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/46.png,
47,GNOGONS #47,XGNOGONS-0a6d4c-2F,85,94,93,93,95,94,Tiffany Sea,Taupe,Fire,Kobe,Dragonfruit,Toxic,Mech Suit,Icicles,Centurion,Healer,296.35,8160,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/47.png,
48,GNOGONS #48,XGNOGONS-0a6d4c-30,96,93,94,92,95,95,Pure Red,Beluga,Ether,Kobe,Autumn,Lagoon,Blizzard,Volt,None,Super Rare,1097.25,146,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/48.png,
49,GNOGONS #49,XGNOGONS-0a6d4c-31,93,96,93,93,92,89,Standard Issue,Matte,Plant,Cotton Candy,Autumn,Lagoon,Maiar Blue,Blades,None,Post Battle,287.12,8676,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/49.png,
50,GNOGONS #50,XGNOGONS-0a6d4c-32,65,97,96,90,94,93,Jet Black,Bananas,Thunder,Gnogons,Sky,Oceanic,Maiar Blue,Ifrit,Blackbox,Inferno,301.83,7836,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/50.png,
51,GNOGONS #51,XGNOGONS-0a6d4c-33,92,91,97,95,93,90,Pure Red,Bone,Moon,Cotton Candy,Emerald,Oceanic,Desert Storm,Chariot,None,Warrior,276.02,9200,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/51.png,
52,GNOGONS #52,XGNOGONS-0a6d4c-34,80,94,94,96,90,93,Twilight Zone,Aura,Alloys,Lockness,Cerulean,Mountain,Desert Storm,Razor,Crusader,Warrior,260.65,9697,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/52.png,
53,GNOGONS #53,XGNOGONS-0a6d4c-35,91,94,95,89,94,97,Tiffany Sea,Beluga,Water,Destiny,Cerulean,Diamond,Desert Storm,Eco,Rise,Protector,351,4634,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/53.png,
54,GNOGONS #54,XGNOGONS-0a6d4c-36,91,98,90,96,94,97,Jet Black,Deep Sea,Spirit,Lockness,Autumn,Oceanic,Atlantis,Moss,Impenetrable,Scythe,381.27,3208,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/54.png,
55,GNOGONS #55,XGNOGONS-0a6d4c-37,85,94,93,93,95,93,Holograph,Taupe,Ether,24 Karat,Citrus,Dragonguard,Atlantis,Dusk,None,Golden Sunset,429.16,1791,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/55.png,
56,GNOGONS #56,XGNOGONS-0a6d4c-38,99,91,95,90,92,92,Fast Furious,Bananas,Alloys,Gnogons,Cerulean,Oceanic,Blizzard,Hazard,Special Task Force,Skeletor,480.65,1042,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/56.png,
57,GNOGONS #57,XGNOGONS-0a6d4c-39,96,93,99,93,94,98,Standard Issue,Tiffany,Alloys,Destiny,Citrus,Toxic,Atlantis,Sacrifice,Crusader,Gnogent,527.65,806,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/57.png,
58,GNOGONS #58,XGNOGONS-0a6d4c-3A,91,92,95,94,91,96,Undriven Snow,Aura,Plant,Gnogons,Sky,Mountain,Atlantis,Plasma,None,Warrior,280.52,9012,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/58.png,
59,GNOGONS #59,XGNOGONS-0a6d4c-3B,80,98,92,96,97,92,Almond Skin,Forrest,Decay,Diamond Hands,Dragonfruit,Dragonguard,Blizzard,Silver,Metal,Moonlight Rider,374.92,3457,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/59.png,
60,GNOGONS #60,XGNOGONS-0a6d4c-3C,75,95,94,95,96,96,Almond Skin,Deep Sea,Thunder,Gnogons,Dragonfruit,Mountain,Marine,Ifrit,None,Moonlight Rider,299.69,7974,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/60.png,
61,GNOGONS #61,XGNOGONS-0a6d4c-3D,91,94,94,95,94,93,Black Charcoal,Matte,Thunder,Diamond Hands,Sky,Diamond,Blizzard,Sacrifice,Special Task Force,Aviators,276.46,9179,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/61.png,
62,GNOGONS #62,XGNOGONS-0a6d4c-3E,97,95,96,89,94,93,Black Charcoal,Matte,Ice,God of War,Dragonfruit,Toxic,Gold Plated,Eco,None,Omega,450.73,1365,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/62.png,
63,GNOGONS #63,XGNOGONS-0a6d4c-3F,91,96,91,92,91,97,Twilight Zone,Tiffany,Gnogen,Kobe,Dragonfruit,Toxic,Marine,Ifrit,Blackbox,Super,314.64,6980,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/63.png,
64,GNOGONS #64,XGNOGONS-0a6d4c-40,70,96,98,93,94,90,Black Charcoal,Bone,Spirit,Kobe,Gold,Lagoon,Maiar Blue,Flightsuit,None,God of Thunder,363.27,3993,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/64.png,
65,GNOGONS #65,XGNOGONS-0a6d4c-41,85,92,89,91,96,97,Almond Skin,Taupe,Fear,Kobe,Autumn,Oceanic,Cave,Hades,None,Prism Frost,294.56,8273,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/65.png,
66,GNOGONS #66,XGNOGONS-0a6d4c-42,95,89,90,90,92,90,Standard Issue,GNG,Spirit,Death,Charcoal,Toxic,Desert Storm,Icicles,None,Protector,299.76,7966,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/66.png,
67,GNOGONS #67,XGNOGONS-0a6d4c-43,91,92,94,94,94,94,Gnogen Burst,Bone,Ice,Seaside,Offwhite,Lagoon,Marine,Rainbow,None,Moonlight Rider,271.58,9385,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/67.png,
68,GNOGONS #68,XGNOGONS-0a6d4c-44,80,94,97,92,93,89,Fast Furious,Forrest,Alloys,Lunar Landing,Violet,Oceanic,Blizzard,Chariot,Royal Armor,Iridescent,270.89,9417,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/68.png,
69,GNOGONS #69,XGNOGONS-0a6d4c-45,80,92,94,94,94,94,Undriven Snow,Beluga,Fire,God of War,Violet,Lagoon,Steel Scales,Moss,Crusader,Scythe,281.01,8996,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/69.png,
70,GNOGONS #70,XGNOGONS-0a6d4c-46,85,93,93,94,94,97,Black Charcoal,Bone,Ether,Rival,Gold,Lagoon,Cave,Dusk,Special Task Force,Elder,321.84,6509,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/70.png,
71,GNOGONS #71,XGNOGONS-0a6d4c-47,80,94,89,92,99,95,Undriven Snow,Plum,Ice,Death,Sky,Mountain,Atlantis,Plasma,None,Gnogent,461.84,1219,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/71.png,
72,GNOGONS #72,XGNOGONS-0a6d4c-48,85,91,96,95,91,89,Hot Pink,Taupe,Gnogen,Destiny,Charcoal,Oceanic,Marine,Jet Blue,None,Mountaineer,384.37,3094,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/72.png,
73,GNOGONS #73,XGNOGONS-0a6d4c-49,60,97,92,94,93,90,Jet Black,Blush,Fear,Lunar Landing,Charcoal,Toxic,Mech Suit,Bones,None,Iridescent,235.43,9985,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/73.png,
74,GNOGONS #74,XGNOGONS-0a6d4c-4A,85,99,93,94,91,91,Fast Furious,Bananas,Spirit,Seaside,Cerulean,Tough,Mech Suit,Plasma,None,Iridescent,308.88,7388,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/74.png,
75,GNOGONS #75,XGNOGONS-0a6d4c-4B,93,95,95,94,94,97,Twilight Zone,Taupe,Spirit,Bubble Gum,Gold,Dragonguard,Cave,Blades,Special Task Force,Skeletor,457.46,1282,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/75.png,
76,GNOGONS #76,XGNOGONS-0a6d4c-4C,90,99,94,94,96,91,Fast Furious,Forrest,Ether,24 Karat,Violet,Mountain,Marine,Scarab,Seashell,Shards of Darkness,349.53,4708,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/76.png,
77,GNOGONS #77,XGNOGONS-0a6d4c-4D,85,91,91,94,93,93,Pure Red,Aura,Spirit,24 Karat,Charcoal,Diamond,Atlantis,Scarab,Seashell,Post Battle,319.07,6692,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/77.png,
78,GNOGONS #78,XGNOGONS-0a6d4c-4E,90,96,95,94,98,93,Hot Pink,Beluga,Ether,Gnogons,Violet,Lagoon,Marine,Mist,Crusader,Wisdom,358.43,4268,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/78.png,
79,GNOGONS #79,XGNOGONS-0a6d4c-4F,95,95,95,98,97,93,Midnight Navy,Forrest,Fear,24 Karat,Offwhite,Mountain,Marine,Bones,Royal Armor,God of Thunder,427.55,1820,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/79.png,
80,GNOGONS #80,XGNOGONS-0a6d4c-50,95,94,98,95,95,92,Midnight Navy,Cyber,Ice,Guardian of Earth,Violet,Toxic,Maiar Blue,Rainbow,Rise,Post Battle,385.79,3039,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/80.png,
81,GNOGONS #81,XGNOGONS-0a6d4c-51,75,98,91,95,90,90,Fast Furious,Plum,Fear,Diamond Hands,Gold,Lagoon,Marine,Fine Wine,Crusader,Protector,389.95,2887,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/81.png,
