EDITION,NAME,TOKEN,ATTRIBUTE:COLLECTION,ATTRIBUTE:TITLE,ATTRIBUTE:MINTAGE,ATTRIBUTE:POWER,ATTRIBUTE:YEAR,ATTRIBUTE:EDITION,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
16,Emidas Genesis Act 1,GNOGENDUP-814470-10,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
17,Emidas Genesis Act 1,GNOGENDUP-814470-11,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
18,Emidas Genesis Act 1,GNOGENDUP-814470-12,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
19,Emidas Genesis Act 1,GNOGENDUP-814470-13,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
20,Emidas Genesis Act 1,GNOGENDUP-814470-14,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
21,Emidas Genesis Act 1,GNOGENDUP-814470-15,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
22,Emidas Genesis Act 1,GNOGENDUP-814470-16,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
23,Emidas Genesis Act 1,GNOGENDUP-814470-17,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
24,Emidas Genesis Act 1,GNOGENDUP-814470-18,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
25,Emidas Genesis Act 1,GNOGENDUP-814470-19,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
26,Emidas Genesis Act 1,GNOGENDUP-814470-1A,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
27,Emidas Genesis Act 1,GNOGENDUP-814470-1B,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
28,Emidas Genesis Act 1,GNOGENDUP-814470-1C,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
29,Emidas Genesis Act 1,GNOGENDUP-814470-1D,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
30,Emidas Genesis Act 1,GNOGENDUP-814470-1E,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
31,Emidas Genesis Act 1,GNOGENDUP-814470-1F,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
32,Emidas Genesis Act 1,GNOGENDUP-814470-20,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
33,Emidas Genesis Act 1,GNOGENDUP-814470-21,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
34,Emidas Genesis Act 1,GNOGENDUP-814470-22,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
35,Emidas Genesis Act 1,GNOGENDUP-814470-23,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
36,Emidas Genesis Act 1,GNOGENDUP-814470-24,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
37,Emidas Genesis Act 1,GNOGENDUP-814470-25,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
38,Emidas Genesis Act 1,GNOGENDUP-814470-26,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
39,Emidas Genesis Act 1,GNOGENDUP-814470-27,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
40,Emidas Genesis Act 1,GNOGENDUP-814470-28,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
41,Emidas Genesis Act 1,GNOGENDUP-814470-29,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
42,Emidas Genesis Act 1,GNOGENDUP-814470-2A,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
43,Emidas Genesis Act 1,GNOGENDUP-814470-2B,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
44,Emidas Genesis Act 1,GNOGENDUP-814470-2C,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
45,Emidas Genesis Act 1,GNOGENDUP-814470-2D,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
46,Emidas Genesis Act 1,GNOGENDUP-814470-2E,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
47,Emidas Genesis Act 1,GNOGENDUP-814470-2F,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
48,Emidas Genesis Act 1,GNOGENDUP-814470-30,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
49,Emidas Genesis Act 1,GNOGENDUP-814470-31,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
50,Emidas Genesis Act 1,GNOGENDUP-814470-32,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
51,Emidas Genesis Act 1,GNOGENDUP-814470-33,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
52,Emidas Genesis Act 1,GNOGENDUP-814470-34,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
53,Emidas Genesis Act 1,GNOGENDUP-814470-35,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
54,Emidas Genesis Act 1,GNOGENDUP-814470-36,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
55,Emidas Genesis Act 1,GNOGENDUP-814470-37,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
56,Emidas Genesis Act 1,GNOGENDUP-814470-38,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
57,Emidas Genesis Act 1,GNOGENDUP-814470-39,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
58,Emidas Genesis Act 1,GNOGENDUP-814470-3A,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
59,Emidas Genesis Act 1,GNOGENDUP-814470-3B,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
60,Emidas Genesis Act 1,GNOGENDUP-814470-3C,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
61,Emidas Genesis Act 1,GNOGENDUP-814470-3D,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
62,Emidas Genesis Act 1,GNOGENDUP-814470-3E,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
63,Emidas Genesis Act 1,GNOGENDUP-814470-3F,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
64,Emidas Genesis Act 1,GNOGENDUP-814470-40,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
65,Emidas Genesis Act 1,GNOGENDUP-814470-41,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
66,Emidas Genesis Act 1,GNOGENDUP-814470-42,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
67,Emidas Genesis Act 1,GNOGENDUP-814470-43,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
68,Emidas Genesis Act 1,GNOGENDUP-814470-44,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
69,Emidas Genesis Act 1,GNOGENDUP-814470-45,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
70,Emidas Genesis Act 1,GNOGENDUP-814470-46,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
71,Emidas Genesis Act 1,GNOGENDUP-814470-47,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
72,Emidas Genesis Act 1,GNOGENDUP-814470-48,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
73,Emidas Genesis Act 1,GNOGENDUP-814470-49,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
74,Emidas Genesis Act 1,GNOGENDUP-814470-4A,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
75,Emidas Genesis Act 1,GNOGENDUP-814470-4B,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
76,Emidas Genesis Act 1,GNOGENDUP-814470-4C,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
77,Emidas Genesis Act 1,GNOGENDUP-814470-4D,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
78,Emidas Genesis Act 1,GNOGENDUP-814470-4E,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
79,Emidas Genesis Act 1,GNOGENDUP-814470-4F,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
80,Emidas Genesis Act 1,GNOGENDUP-814470-50,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
81,Emidas Genesis Act 1,GNOGENDUP-814470-51,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
82,Emidas Genesis Act 1,GNOGENDUP-814470-52,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
83,Emidas Genesis Act 1,GNOGENDUP-814470-53,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
84,Emidas Genesis Act 1,GNOGENDUP-814470-54,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
85,Emidas Genesis Act 1,GNOGENDUP-814470-55,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
86,Emidas Genesis Act 1,GNOGENDUP-814470-56,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
87,Emidas Genesis Act 1,GNOGENDUP-814470-57,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
88,Emidas Genesis Act 1,GNOGENDUP-814470-58,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
89,Emidas Genesis Act 1,GNOGENDUP-814470-59,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
90,Emidas Genesis Act 1,GNOGENDUP-814470-5A,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
91,Emidas Genesis Act 1,GNOGENDUP-814470-5B,Emidas Genesis,Zero to One,200,100,2021,GR,N/A,N/A,https://ipfs.io/ipfs/QmaHLrEp8FtF2B3g2Fz5kvW79FxFsiggaWvFxcboW5cSFs/GR/Emidas%20Act%201%20GR%20Final.mp4,
