EDITION,NAME,TOKEN,ATTRIBUTE:MODEL,ATTRIBUTE:RANK,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:ACCURACY,ATTRIBUTE:RAM,ATTRIBUTE:BACKGROUND,ATTRIBUTE:WEAPON,ATTRIBUTE:BODY,ATTRIBUTE:EXPRESSION,ATTRIBUTE:ARMOR,ATTRIBUTE:MASK,ATTRIBUTE:EYEWEAR,ATTRIBUTE:HEAD,ATTRIBUTE:NECKLACE,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
15,ValidatorV2 #15,XVTWO-fcc831-0F,Omega,Legendary,100,98,99,100,97,97,NONE,NONE,Upgraded,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,5,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/15.png,
16,ValidatorV2 #16,XVTWO-fcc831-10,Alpha,Legendary,100,97,98,100,99,97,NONE,NONE,In Progress,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,15,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/16.png,
17,ValidatorV2 #17,XVTWO-fcc831-11,Omega,Legendary,100,97,99,98,97,100,NONE,NONE,Stonehenge,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,6,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/17.png,
18,ValidatorV2 #18,XVTWO-fcc831-12,Alpha,Legendary,100,99,98,97,97,100,NONE,NONE,Maker,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,16,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/18.png,
19,ValidatorV2 #19,XVTWO-fcc831-13,Omega,Legendary,100,97,97,100,98,99,NONE,NONE,Prototype,NONE,NONE,NONE,NONE,NONE,NONE,2825.432448,7,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/19.png,
20,ValidatorV2 #20,XVTWO-fcc831-14,Alpha,Legendary,100,97,99,98,100,97,NONE,NONE,Mason,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,18,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/20.png,
21,ValidatorV2 #21,XVTWO-fcc831-15,Alpha,Legendary,100,97,100,98,99,97,NONE,NONE,Gnogenite,NONE,NONE,NONE,NONE,NONE,NONE,2825.350386,19,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/21.png,
22,ValidatorV2 #22,XVTWO-fcc831-16,Alpha,Legendary,100,100,98,99,97,98,NONE,NONE,Gnogen Knight,NONE,NONE,NONE,NONE,NONE,NONE,2826.350386,1,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/22.png,
23,ValidatorV2 #23,XVTWO-fcc831-17,Omega,5,100,100,98,98,99,98,Baby Yellow,Robo Arms,WAGMI Alternate,Dead,Dance Girl,NONE,NONE,NONE,NONE,794.9511961,24,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/23.png,
24,ValidatorV2 #24,XVTWO-fcc831-18,Alpha,5,100,99,98,99,99,100,Pewter,Rocket Launcher,Professional,Curious,Suit Ready,Ghost,Night Out,NONE,Cold Storage,782.9799287,27,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/24.png,
25,ValidatorV2 #25,XVTWO-fcc831-19,Alpha,5,100,98,100,99,99,99,Dual Pink,Sniper Rifle,Duality,Deadeye,Dressed To Kill,NONE,NONE,Cap,NONE,767.2739573,31,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/25.png,
26,ValidatorV2 #26,XVTWO-fcc831-1A,Alpha,5,100,99,98,100,100,98,Crimson,Photon Cannon,Gnogen Orange,Smirk,Boost Hoodie,Soundproof,NONE,Headband,Multi Chain,775.3111945,29,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/26.png,
27,ValidatorV2 #27,XVTWO-fcc831-1B,Alpha,5,100,98,99,100,99,98,Gold,Scythe,OG,Angry,Alpha,Barbarian,NONE,Halo,Cold Storage,776.0319499,28,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/27.png,
28,ValidatorV2 #28,XVTWO-fcc831-1C,Alpha,5,100,100,99,98,98,99,Taupe,Great Sword,Egold Alternate,Serious,Zero Dark,Soundproof,Radar,Samurai,NONE,783.8596246,26,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/28.png,
29,ValidatorV2 #29,XVTWO-fcc831-1D,Omega,5,100,98,99,99,99,100,Dual Blue,Sniper Rifle,Duality,Deadeye,Tech Jacket,NONE,NONE,Beanie,NONE,767.0987372,32,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/29.png,
30,ValidatorV2 #30,XVTWO-fcc831-1E,Omega,5,100,99,100,98,100,98,Sky Blue,Sword,OG,Curious,Spiked Jacket,NONE,Fashion,Sailor,NONE,772.10826,30,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/30.png,
31,ValidatorV2 #31,XVTWO-fcc831-1F,Omega,5,100,99,98,98,99,100,Gnogen Gold,Fairy Wings,Egold Primary,Angry,Assassin,NONE,Snowboarder,Halo,Gem,786.0719132,25,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/31.png,
32,ValidatorV2 #32,XVTWO-fcc831-20,Omega,5,100,98,98,99,98,100,Gunmetal,Fairy Wings,Golden Primary,Normal,Cannons,Far East,Scanner,Horns,NONE,820.1285472,23,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/32.png,
33,ValidatorV2 #33,XVTWO-fcc831-21,Omega,NONE,99,98,98,100,98,97,Gray,Sniper Rifle,Gnogen Alternate,Angry,Meta,Hidden,NONE,Racer,Cuban,663.0900141,181,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/33.png,
34,ValidatorV2 #34,XVTWO-fcc831-22,Omega,NONE,98,98,97,98,98,96,Gray,Robo Arms,OG,Dead,Impaler,NONE,NONE,NONE,NONE,659.5489894,220,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/34.png,
35,ValidatorV2 #35,XVTWO-fcc831-23,Omega,NONE,91,99,93,92,99,86,Dual Green,Great Sword,Duality,Dead,Plain Jacket,NONE,NONE,Apocalypse,NONE,630.8058467,1734,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/35.png,
36,ValidatorV2 #36,XVTWO-fcc831-24,Omega,NONE,75,99,100,90,93,91,Dual Red,Rocket Launcher,Duality,Dead,Puffer,NONE,NONE,Beanie,NONE,604.5846354,5736,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/36.png,
37,ValidatorV2 #37,XVTWO-fcc831-25,Omega,4,93,99,99,98,96,97,Dual Red,Dual Blade,Duality,Angry,Turtleneck,NONE,NONE,NONE,NONE,660.9491258,201,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/37.png,
38,ValidatorV2 #38,XVTWO-fcc831-26,Omega,NONE,90,87,85,97,95,93,Dual Gray,NONE,Duality,Angry,Tech Jacket,NONE,NONE,Apocalypse,NONE,611.3010715,4678,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/38.png,
39,ValidatorV2 #39,XVTWO-fcc831-27,Omega,4,96,95,95,99,98,95,Dual Red,Hoverboard,Duality,Angry,Space Suit,NONE,NONE,Cap,NONE,658.0646456,245,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/39.png,
40,ValidatorV2 #40,XVTWO-fcc831-28,Omega,NONE,69,86,100,93,91,99,Dual Red,Sword,Duality,Serious,Plain Dress,NONE,NONE,NONE,NONE,594.4869525,7240,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/40.png,
41,ValidatorV2 #41,XVTWO-fcc831-29,Omega,4,98,99,96,100,99,95,Dual Red,Axe,Duality,Bored,Blouse,NONE,Nightvision,NONE,NONE,676.2639463,82,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/41.png,
42,ValidatorV2 #42,XVTWO-fcc831-2A,Omega,4,95,98,95,99,95,100,Dual Green,Bow & Arrow,Duality,Angry,Tribal,NONE,NONE,NONE,NONE,730.8637947,34,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/42.png,
43,ValidatorV2 #43,XVTWO-fcc831-2B,Omega,NONE,80,90,99,86,91,89,Dual Red,Hoverboard,Duality,Normal,Church,NONE,NONE,NONE,NONE,594.5826908,7221,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/43.png,
44,ValidatorV2 #44,XVTWO-fcc831-2C,Omega,NONE,91,85,93,87,94,93,Dual Green,Sniper Rifle,Duality,Smirk,Alternate Puffer Jacket,Far East,NONE,NONE,V Pendant,624.8681246,2526,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/44.png,
45,ValidatorV2 #45,XVTWO-fcc831-2D,Omega,NONE,74,93,99,98,94,99,Dual Green,Stick,Duality,Normal,Trainee,NONE,Fashion,Halo,Gem,627.8736238,2099,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/45.png,
46,ValidatorV2 #46,XVTWO-fcc831-2E,Omega,NONE,78,91,90,94,91,100,Dual Gray,NONE,Duality,Dead,Flight Suit,NONE,NONE,Cap,NONE,665.2406573,155,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/46.png,
47,ValidatorV2 #47,XVTWO-fcc831-2F,Omega,NONE,88,97,97,87,97,87,Dual Gray,Photon Cannon,Duality,Serious,Trainee,NONE,NONE,Racer,LB,623.1511226,2781,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/47.png,
48,ValidatorV2 #48,XVTWO-fcc831-30,Omega,NONE,79,90,87,95,87,96,Dual Green,Robo Arms,Duality,Normal,Bougie Hoodie,NONE,NONE,NONE,Gem,597.0105839,6854,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/48.png,
49,ValidatorV2 #49,XVTWO-fcc831-31,Omega,NONE,93,96,99,95,85,91,Dual Pink,Pistol,Duality,Dead,Cannons,NONE,Scanner,Flower,NONE,636.1799243,1197,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/49.png,
50,ValidatorV2 #50,XVTWO-fcc831-32,Omega,1,100,94,99,92,90,94,Dual Green,Standard Issue,Duality,Deadeye,Church,NONE,NONE,NONE,Gem,653.2039198,343,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/50.png,
51,ValidatorV2 #51,XVTWO-fcc831-33,Omega,NONE,92,85,97,89,99,100,Dual Pink,Hoverboard,Duality,Angry,Puffer,NONE,NONE,Beanie,Gem,633.2293056,1485,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/51.png,
52,ValidatorV2 #52,XVTWO-fcc831-34,Omega,NONE,96,88,100,87,97,87,Dual Blue,Bow & Arrow,Duality,Normal,School Girl,P100,Snowboarder,Cap,V Pendant,648.3472995,481,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/52.png,
53,ValidatorV2 #53,XVTWO-fcc831-35,Omega,NONE,100,99,96,96,99,97,Dual Green,Robo Arms,Duality,Normal,Flannel,NONE,Golf,NONE,NONE,710.8912693,36,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/53.png,
54,ValidatorV2 #54,XVTWO-fcc831-36,Omega,NONE,81,87,93,99,89,97,Dual Pink,Drone,Duality,Dead,Cannons,NONE,NONE,NONE,NONE,602.3983722,6069,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/54.png,
55,ValidatorV2 #55,XVTWO-fcc831-37,Omega,1,86,91,95,100,94,96,Dual Green,Bow & Arrow,Duality,Dead,Engineer,NONE,NONE,Hockey,LB,631.5875955,1643,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/55.png,
56,ValidatorV2 #56,XVTWO-fcc831-38,Omega,NONE,65,100,89,90,90,99,Dual Green,Laser Gun,Duality,Disappointed,Flannel,NONE,NONE,Halo,NONE,587.2427764,8155,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/56.png,
57,ValidatorV2 #57,XVTWO-fcc831-39,Omega,NONE,92,90,96,96,92,98,Dual Green,Dual Blade,Duality,Normal,Engineer,NONE,Fashion,Headband,NONE,634.1740046,1391,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/57.png,
58,ValidatorV2 #58,XVTWO-fcc831-3A,Omega,NONE,90,93,90,86,92,95,Dual Gray,NONE,Duality,Dead,Street Hoodie,NONE,NONE,Headband,NONE,609.4999516,4944,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/58.png,
59,ValidatorV2 #59,XVTWO-fcc831-3B,Omega,NONE,96,93,100,85,100,96,Dual Blue,Katana,Duality,Angry,Space Suit,NONE,NONE,Beanie,NONE,634.4796299,1358,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/59.png,
60,ValidatorV2 #60,XVTWO-fcc831-3C,Omega,2,88,98,89,90,91,96,Dual Gray,Bow & Arrow,Duality,Angry,Assassin,NONE,NONE,Hockey,NONE,619.7381727,3294,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/60.png,
61,ValidatorV2 #61,XVTWO-fcc831-3D,Omega,NONE,70,92,100,95,86,87,Dual Gray,Sword,Duality,Normal,Bunny Ears,NONE,NONE,NONE,NONE,602.5421317,6047,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/61.png,
62,ValidatorV2 #62,XVTWO-fcc831-3E,Omega,4,97,99,98,97,99,96,Dual Green,Axe,Duality,Normal,Red Riding Hood,NONE,Poet Glasses,NONE,NONE,681.8413247,67,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/62.png,
63,ValidatorV2 #63,XVTWO-fcc831-3F,Omega,NONE,75,93,98,88,92,96,Dual Green,Bow & Arrow,Duality,Angry,T Shirt,NONE,NONE,Sailor,NONE,596.0687013,7008,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/63.png,
64,ValidatorV2 #64,XVTWO-fcc831-40,Omega,NONE,74,89,92,88,98,92,Dual Pink,Dual Blade,Duality,Smirk,Flannel,NONE,NONE,Alternate Headband,NONE,591.9124352,7587,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/64.png,
65,ValidatorV2 #65,XVTWO-fcc831-41,Omega,NONE,88,85,94,96,97,93,Dual Gray,Dual Blade,Duality,Angry,Plain Dress,NONE,NONE,Alternate Beanie,NONE,621.2940753,3055,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/65.png,
66,ValidatorV2 #66,XVTWO-fcc831-42,Omega,NONE,65,85,87,90,97,99,Dual Pink,AK47,Duality,Angry,Turtleneck,NONE,NONE,NONE,NONE,573.3154301,9406,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/66.png,
67,ValidatorV2 #67,XVTWO-fcc831-43,Omega,NONE,71,93,90,98,95,85,Dual Gray,NONE,Duality,Smirk,Spiked Jacket,NONE,NONE,NONE,NONE,585.5716442,8344,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/67.png,
68,ValidatorV2 #68,XVTWO-fcc831-44,Omega,1,86,91,98,88,88,88,Dual Blue,Dual Blade,Duality,Normal,T Shirt,NONE,NONE,Racer,Gem,607.2085816,5312,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/68.png,
69,ValidatorV2 #69,XVTWO-fcc831-45,Omega,NONE,61,92,95,97,90,94,Dual Gray,Katana,Duality,Normal,Street Hoodie,Far East,NONE,NONE,NONE,588.2895556,8031,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/69.png,
70,ValidatorV2 #70,XVTWO-fcc831-46,Omega,4,97,99,96,98,97,99,Dual Green,Hacker,Duality,Deadeye,Red Riding Hood,NONE,NONE,NONE,NONE,685.5507655,60,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/70.png,
71,ValidatorV2 #71,XVTWO-fcc831-47,Omega,NONE,92,90,98,88,91,100,Dual Gray,Sword,Duality,Angry,Trainee,NONE,NONE,Cap,Gem,627.1448332,2196,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/71.png,
72,ValidatorV2 #72,XVTWO-fcc831-48,Omega,NONE,95,87,91,96,87,97,Dual Blue,Sniper Rifle,Duality,Dead,Plain Jacket,NONE,NONE,Cap,NONE,621.9912887,2963,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/72.png,
73,ValidatorV2 #73,XVTWO-fcc831-49,Omega,NONE,88,97,88,96,99,95,Dual Green,AK47,Duality,Dead,Assassin,NONE,Fashion,Alternate Cap,NONE,640.6099964,859,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/73.png,
74,ValidatorV2 #74,XVTWO-fcc831-4A,Omega,NONE,75,90,96,92,88,100,Dual Gray,Axe,Duality,Bored,Dance Girl,NONE,NONE,NONE,NONE,629.6821873,1884,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/74.png,
75,ValidatorV2 #75,XVTWO-fcc831-4B,Omega,NONE,90,97,88,91,97,93,Dual Blue,Standard Issue,Duality,Deadeye,Bougie Hoodie,NONE,NONE,NONE,NONE,621.0658453,3086,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/75.png,
76,ValidatorV2 #76,XVTWO-fcc831-4C,Omega,NONE,94,100,92,95,85,88,Dual Gray,AK47,Duality,Angry,Farmbot,NONE,NONE,NONE,NONE,617.7599042,3607,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/76.png,
77,ValidatorV2 #77,XVTWO-fcc831-4D,Omega,1,86,93,90,100,92,93,Dual Gray,Sword,Duality,Dead,Bougie Hoodie,NONE,NONE,Racer,NONE,615.4554272,4003,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/77.png,
78,ValidatorV2 #78,XVTWO-fcc831-4E,Omega,NONE,59,87,90,88,97,92,Dual Gray,Stick,Duality,Normal,Space Suit,Far East,Nightvision,NONE,NONE,579.3260248,8939,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/78.png,
79,ValidatorV2 #79,XVTWO-fcc831-4F,Omega,NONE,60,87,96,86,89,96,Dual Red,Rocket Launcher,Duality,Serious,Tech Jacket,P100,NONE,Alternate Beanie,NONE,577.3953946,9086,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/79.png,
80,ValidatorV2 #80,XVTWO-fcc831-50,Omega,NONE,73,99,93,94,92,98,Dual Gray,Photon Cannon,Duality,Angry,Turtleneck,Flight,NONE,NONE,NONE,617.7261712,3611,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/80.png,
